isin,name,type,quantity,price,value,currency,marketPrice,marketValue,priceChange,priceChangePercent,lastUpdated,dataProvider,id,symbol,description,sector,country,exchange
"DE7672599023","Amazon.com Inc.","Fund",72,367.95,26492.4,"USD",378.44,27247.68,10.49,2.85,"2025-05-13T20:14:37.935Z","Yahoo Finance","sec-1","AMAZON.COM",,"Financial Services","DE",
"DE7079495677","Bank of America Corp.","Option",687,537.98,369592.26,"GBP",528.4,363010.8,-9.58,-1.78,"2025-05-13T20:14:37.935Z","Yahoo Finance","sec-2","BANK",,"Industrials","DE",
"IL8164880084","Mastercard Inc.","Stock",769,998.77,768054.13,"USD",996.27,766131.63,-2.5,-0.25,"2025-05-13T20:14:37.935Z","Yahoo Finance","sec-3","MASTERCARD",,"Real Estate","IL",
"GB6674742514","Amazon.com Inc.","ETF",33,933.32,30799.56,"EUR",958.89,31643.37,25.57,2.74,"2025-05-13T20:14:37.935Z","Yahoo Finance","sec-4","AMAZON.COM",,"Consumer Cyclical","GB",
"GB0164300122","UnitedHealth Group Inc.","Bond",78,235.92,18401.76,"USD",233.37,18202.86,-2.55,-1.08,"2025-05-13T20:14:37.935Z","Yahoo Finance","sec-5","UNITEDHEALTH",,"Energy","GB",
"US1339566392","UnitedHealth Group Inc.","ETF",324,700.14,226845.36,"GBP",720.72,233513.28,20.58,2.94,"2025-05-13T20:14:37.935Z","Yahoo Finance","sec-6","UNITEDHEALTH",,"Industrials","US",
"JP5288336055","Walt Disney Co.","Cash",414,693.56,287133.84,"GBP",665.33,275446.62,-28.23,-4.07,"2025-05-13T20:14:37.935Z","Yahoo Finance","sec-7","WALT",,"Industrials","JP",
"GB2527128473","Berkshire Hathaway Inc.","Cash",922,727.86,671086.92,"EUR",711.85,656325.7,-16.01,-2.2,"2025-05-13T20:14:37.935Z","Yahoo Finance","sec-8","BERKSHIRE",,"Consumer Defensive","GB",
"FR7339011142","Apple Inc.","ETF",334,905.9,302570.6,"USD",913.06,304962.04,7.16,0.79,"2025-05-13T20:14:37.935Z","Yahoo Finance","sec-9","APPLE",,"Real Estate","FR",
"US8303985832","Meta Platforms Inc.","Stock",220,712.66,156785.2,"USD",699.05,153791,-13.61,-1.91,"2025-05-13T20:14:37.935Z","Yahoo Finance","sec-10","META",,"Utilities","US",
